snatcherVelocity,xAxisPos,zAxisPos,distanceToTarget,viewAngle,touchedWall,date-time,update
0,-4.074258,24.78643,0,198.679,0,24/09/2020 17:16:32,51
0,-2.535384,24.47097,0,277.4459,0,24/09/2020 17:16:33,102
0,-3.288326,21.95537,0,250.2369,0,24/09/2020 17:16:34,153
0,-1.692965,25.88281,0,161.8419,0,24/09/2020 17:16:35,204
0,-4.498987,20.00089,0,265.4585,0,24/09/2020 17:16:36,255
16.51889,-7.50179,21.31537,3.625671,104.5972,0,24/09/2020 17:16:37,306
19.21521,-12.98541,17.29557,8.117624,192.2571,0,24/09/2020 17:16:38,357
15.69323,-3.862773,-0.5837271,3.39427,78.90569,0,24/09/2020 17:16:39,408
8.576737,-2.287069,9.753221,6.688936,369.0675,0,24/09/2020 17:16:40,459
1.342688,-3.129555,18.53085,6.688936,160.7112,0,24/09/2020 17:16:41,510
12.97859,3.744219,5.987943,7.700791,65.79588,0,24/09/2020 17:16:42,561
6.974866,4.226212,-0.7861077,7.700791,274.8626,0,24/09/2020 17:16:43,612
1.073251,1.615827,2.107474,7.700791,388.1172,0,24/09/2020 17:16:44,663
1.453125E-13,-4.800757,1.829082,7.700791,280.7541,0,24/09/2020 17:16:45,714
0,-3.015689,9.491837,7.700791,375.8198,0,24/09/2020 17:16:46,765
0,2.841546,11.59699,7.700791,139.5809,0,24/09/2020 17:16:47,816
0,1.10734,17.32335,7.700791,128.0518,0,24/09/2020 17:16:48,867
0,3.250673,16.69959,7.700791,355.0522,0,24/09/2020 17:16:49,918
0,1.123159,17.54857,7.700791,325.8915,0,24/09/2020 17:16:50,969
0,-1.546811,18.39642,7.700791,59.60937,0,24/09/2020 17:16:51,1020
0,-3.351774,21.89842,7.700791,230.1751,0,24/09/2020 17:16:52,1071
0,1.29138,26.21335,7.700791,336.7141,0,24/09/2020 17:16:53,1122
2.384186E-06,-3.533518,27.35236,7.700791,100.7666,0,24/09/2020 17:16:54,1173
0,-7.330775,32.46564,7.700791,312.8641,0,24/09/2020 17:16:55,1224
0,-7.29448,27.31155,7.700791,158.1552,0,24/09/2020 17:16:56,1275
0,-11.86105,31.14084,7.700791,199.8549,0,24/09/2020 17:16:57,1326
0,-9.50445,25.56717,7.700791,267.0057,0,24/09/2020 17:16:58,1377
0,-6.912438,21.66677,7.700791,333.3551,0,24/09/2020 17:16:59,1428
0,-7.03333,20.53856,7.700791,244.5768,0,24/09/2020 17:17:00,1479
0,-11.25537,19.33508,7.700791,91.26531,0,24/09/2020 17:17:01,1530
0,-14.87819,21.00437,7.700791,372.3853,0,24/09/2020 17:17:02,1581
0,-15.7504,20.85449,7.700791,123.4723,0,24/09/2020 17:17:03,1632
