snatcherVelocity,xAxisPos,zAxisPos,distanceToTarget,viewAngle,touchedWall,date-time
8.748242,-22.6907,36.54702,11.69334,110.894,1,11/02/2020 21:16:49
8.748242,-29.74197,33.92968,11.69334,148.7154,1,11/02/2020 21:16:50
14.28784,-14.09525,31.39549,4.500305,144.9807,1,11/02/2020 21:16:51
14.28784,-0.09768382,23.08882,4.500305,329.0136,1,11/02/2020 21:16:52
6.300228,3.835231,26.058,11.51135,55.52488,1,11/02/2020 21:16:53
6.300228,9.727141,31.26863,11.51135,257.33,1,11/02/2020 21:16:54
6.300228,13.53296,27.18858,11.51135,231.974,1,11/02/2020 21:16:55
6.300228,17.94316,27.39694,11.51135,181.6872,1,11/02/2020 21:16:56
6.300228,21.26418,23.725,11.51135,197.4877,1,11/02/2020 21:16:57
6.300228,31.88994,31.05984,11.51135,199.7044,1,11/02/2020 21:16:58
6.300228,32.0274,33.6853,8.977365,351.2699,1,11/02/2020 21:16:59
1.301003,29.0269,32.78009,8.977365,160.6232,2,11/02/2020 21:17:00
1.301003,27.86606,26.06673,8.977365,235.7147,2,11/02/2020 21:17:01
1.301003,21.5953,24.87382,8.977365,257.3618,2,11/02/2020 21:17:02
0.9997886,18.35358,17.66328,8.977365,187.5329,2,11/02/2020 21:17:03
0.7324799,13.66269,24.60668,8.977365,298.2253,2,11/02/2020 21:17:04
0.7324799,11.53567,27.87521,8.977365,129.616,2,11/02/2020 21:17:05
0.7324799,20.43151,26.47058,8.977365,79.21223,2,11/02/2020 21:17:06
0.7324799,18.21765,31.95463,8.977365,283.1804,2,11/02/2020 21:17:07
0.7324799,21.16554,27.22861,8.977365,296.2329,2,11/02/2020 21:17:08
0.7324799,16.4518,25.00106,8.977365,314.4455,2,11/02/2020 21:17:09
9.475349,6.104569,24.47138,7.027792,72.74084,2,11/02/2020 21:17:10
9.475349,-3.174463,21.71537,7.027792,316.4694,2,11/02/2020 21:17:11
9.475349,-7.0702,24.59879,7.027792,348.8946,2,11/02/2020 21:17:12
9.475349,-15.42042,20.28782,7.027792,121.6422,2,11/02/2020 21:17:13
9.475349,-19.8128,24.665,7.027792,65.79224,2,11/02/2020 21:17:14
9.475348,-21.21963,24.07412,7.027792,90.56676,2,11/02/2020 21:17:15
9.475348,-26.92557,21.36538,7.027792,79.97192,2,11/02/2020 21:17:16
9.475348,-27.3199,17.23306,7.027792,86.24783,2,11/02/2020 21:17:17
9.475348,-30.32069,11.96212,7.027792,197.3079,2,11/02/2020 21:17:18
9.475348,-35.41358,7.905756,7.027792,119.5883,2,11/02/2020 21:17:19
5.531856,-37.29505,10.62121,7.027792,27.76073,2,11/02/2020 21:17:20
3.924307,-32.431,5.729525,7.027792,382.3954,2,11/02/2020 21:17:21
3.924307,-28.26917,5.060038,7.027792,146.1514,2,11/02/2020 21:17:22
3.924307,-21.49678,5.149622,7.027792,75.46364,2,11/02/2020 21:17:23
3.924307,-17.28085,8.915298,7.027792,89.83393,2,11/02/2020 21:17:24
3.832959,-14.50554,13.85893,7.027792,376.4162,2,11/02/2020 21:17:25
3.832959,-17.88823,7.203808,7.027792,189.3451,2,11/02/2020 21:17:26
3.832959,-16.32152,5.444993,7.027792,349.2016,2,11/02/2020 21:17:27
3.832959,-19.13524,10.80105,7.027792,365.8883,2,11/02/2020 21:17:28
2.143872,-13.72395,11.69364,7.027792,167.1275,2,11/02/2020 21:17:29
2.143872,-14.30544,10.57205,7.027792,279.5819,2,11/02/2020 21:17:30
2.143872,-7.988949,10.92015,7.027792,50.19846,2,11/02/2020 21:17:31
2.143872,-5.121585,14.049,7.027792,144.1537,2,11/02/2020 21:17:32
2.143872,-6.704314,13.57261,7.027792,347.9891,2,11/02/2020 21:17:33
2.143872,-10.72123,14.1839,7.027792,64.37517,2,11/02/2020 21:17:34
2.143872,-13.56387,15.13775,7.027792,366.232,2,11/02/2020 21:17:35
2.143872,-14.69559,12.44454,7.027792,255.027,2,11/02/2020 21:17:36
2.143872,-20.20058,11.71678,7.027792,114.4735,2,11/02/2020 21:17:37
2.143872,-12.4885,9.73729,7.027792,198.2919,2,11/02/2020 21:17:38
2.143872,-7.266602,3.937644,7.027792,132.0711,2,11/02/2020 21:17:39
1.460709,-5.855903,-0.1687107,7.027792,143.6669,2,11/02/2020 21:17:40
1.348265,-4.411047,-0.2590923,7.027792,275.0396,2,11/02/2020 21:17:41
1.348265,-8.164639,3.64221,7.027792,248.2571,2,11/02/2020 21:17:42
0.3429041,-14.15119,7.015565,7.027792,357.2174,2,11/02/2020 21:17:43
0.3429041,-15.56668,8.412034,7.027792,123.6685,2,11/02/2020 21:17:44
0.3429041,-10.32308,10.13131,7.027792,347.3135,2,11/02/2020 21:17:45
0.3429041,-15.93948,12.05415,7.027792,326.8526,2,11/02/2020 21:17:46
0.6149406,-15.42832,12.63745,7.027792,34.53391,2,11/02/2020 21:17:47
0.6149406,-11.0337,6.373381,7.027792,86.10765,2,11/02/2020 21:17:48
0.6149406,-5.921071,10.79264,7.027792,125.5741,2,11/02/2020 21:17:49
0.6149406,-3.560778,15.89442,7.027792,71.94448,2,11/02/2020 21:17:50
0.6149406,-5.595212,11.31416,7.027792,252.528,2,11/02/2020 21:17:51
0.6149406,-6.602644,11.60014,7.027792,343.9317,2,11/02/2020 21:17:52
0.6149406,-6.523067,16.57218,7.027792,349.6662,2,11/02/2020 21:17:53
0.6149406,0.947879,15.19772,7.027792,152.5178,2,11/02/2020 21:17:54
0.6149406,1.692503,15.28623,7.027792,275.0775,2,11/02/2020 21:17:55
0.6149406,3.922129,22.57773,7.027792,336.9506,2,11/02/2020 21:17:56
0.6149406,-2.89335,23.91089,7.027792,250.3996,2,11/02/2020 21:17:57
0.6149406,-1.265077,23.64443,7.027792,134.3207,2,11/02/2020 21:17:58
0.6149406,2.300787,20.71299,7.027792,88.949,2,11/02/2020 21:17:59
0.6149406,0.2499398,20.82427,7.027792,318.6382,2,11/02/2020 21:18:00
0.6149406,-3.684214,18.16623,7.027792,287.4958,2,11/02/2020 21:18:01
0.6149406,-11.00007,16.47688,7.027792,203.6653,2,11/02/2020 21:18:02
0.6149406,-14.23758,14.20899,7.027792,142.4014,2,11/02/2020 21:18:03
0.6149406,-5.33582,10.15784,7.027792,100.5882,2,11/02/2020 21:18:04
0.6149406,-8.064519,16.29647,7.027792,264.4171,2,11/02/2020 21:18:05
0.6149406,-9.746318,19.42201,7.027792,77.79735,2,11/02/2020 21:18:06
0.6149406,-1.076797,18.39869,7.027792,235.3973,2,11/02/2020 21:18:07
0.6149406,-1.957489,15.99596,7.027792,244.6487,2,11/02/2020 21:18:08
0.6149406,3.423603,8.804028,7.027792,90.41836,2,11/02/2020 21:18:09
0.6149406,6.19907,16.13118,7.027792,47.83397,2,11/02/2020 21:18:10
0.6149406,9.937332,15.22082,7.027792,202.6132,2,11/02/2020 21:18:11
0.6149406,11.30943,13.73767,7.027792,324.8646,2,11/02/2020 21:18:12
0.6149406,14.68183,18.59581,7.027792,295.3076,2,11/02/2020 21:18:13
0.5540053,9.307898,12.50726,7.027792,269.857,2,11/02/2020 21:18:14
16.38038,23.39391,4.922633,5.047523,284.7844,2,11/02/2020 21:18:15
7.380132,27.89722,0.7307262,5.047523,287.1937,3,11/02/2020 21:18:16
5.002831,34.92722,1.916849,5.047523,326.302,3,11/02/2020 21:18:17
5.002831,33.92112,7.494497,5.047523,308.2597,3,11/02/2020 21:18:18
5.002831,33.30375,0.6738319,5.047523,265.325,3,11/02/2020 21:18:19
5.002831,31.95499,4.449181,5.047523,373.7811,3,11/02/2020 21:18:20
5.002831,31.49356,11.02059,5.047523,310.6434,3,11/02/2020 21:18:21
5.002831,26.60501,11.19406,5.047523,290.7097,3,11/02/2020 21:18:22
5.002831,27.73982,5.903148,5.047523,353.6614,3,11/02/2020 21:18:23
5.002831,31.14258,14.52088,5.047523,359.1555,3,11/02/2020 21:18:24
5.002831,33.93705,5.450845,5.047523,259.5037,3,11/02/2020 21:18:25
5.002831,32.77805,2.702812,5.047523,312.6892,3,11/02/2020 21:18:26
5.002831,32.74142,8.016581,5.047523,62.86987,3,11/02/2020 21:18:27
5.002831,32.49129,14.53303,5.047523,366.5655,3,11/02/2020 21:18:28
5.002831,35.96304,15.75154,5.047523,377.7586,3,11/02/2020 21:18:29
8.737823,34.53878,23.78954,10.92762,313.7567,3,11/02/2020 21:18:30
8.737823,26.99045,29.65803,10.92762,245.485,3,11/02/2020 21:18:31
8.737823,24.36675,33.51435,10.92762,304.2567,3,11/02/2020 21:18:32
0,14.86475,35.80636,10.92762,281.8567,4,11/02/2020 21:18:33
0,13.47967,32.36349,10.92762,151.1221,4,11/02/2020 21:18:34
9.923208,15.53927,27.71825,12.127,265.1711,4,11/02/2020 21:18:35
9.923208,2.965377,21.29471,12.127,347.2891,4,11/02/2020 21:18:36
9.923208,-11.36523,22.14078,12.127,363.8297,4,11/02/2020 21:18:37
9.923208,-18.99858,10.51611,12.127,256.1582,4,11/02/2020 21:18:38
5.906799,-22.76731,5.481222,12.127,141.6198,4,11/02/2020 21:18:39
0,-22.70886,0.7094097,12.127,140.3011,5,11/02/2020 21:18:40
0,-13.7688,2.561124,12.127,126.6375,5,11/02/2020 21:18:41
0,-9.68589,9.100385,12.127,45.53238,5,11/02/2020 21:18:43
0,-11.36464,18.70374,12.127,365.8191,5,11/02/2020 21:18:44
0,-5.689786,19.35434,12.127,277.7775,5,11/02/2020 21:18:45
0,-15.24955,20.65284,12.127,321.7853,5,11/02/2020 21:18:46
0,-14.31324,21.48554,12.127,216.7142,5,11/02/2020 21:18:47
0,-14.18657,13.66706,12.127,244.1526,5,11/02/2020 21:18:48
0,-13.98498,14.3416,12.127,372.2184,5,11/02/2020 21:18:49
1.086003,-9.898194,22.91925,12.127,89.09546,5,11/02/2020 21:18:50
1.086003,-3.912896,25.77555,12.127,300.2292,5,11/02/2020 21:18:51
1.086003,-4.432724,25.22915,12.127,182.0687,5,11/02/2020 21:18:52
1.086003,-3.501251,21.38209,12.127,162.5301,5,11/02/2020 21:18:53
1.086003,-6.298658,24.57827,12.127,82.22269,5,11/02/2020 21:18:54
1.086003,-3.863017,25.61793,12.127,48.00561,5,11/02/2020 21:18:55
18.42359,-7.378825,49.85129,7.812136,299.8975,5,11/02/2020 21:18:56
