AgentID,GoodPointAmount,BadPointAmount,Velocity,xAxisPos,zAxisPos,seenBySnatcher,touchedWall,academyScore,date-time
-1258,0,0,18.79265,13.24178,52.7278,0,0,-1,12/02/2020 09:37:15
-1142,1,0,9.345528,10.80835,51.2832,0,0,-1,12/02/2020 09:37:15
-1116,0,3,20.98907,-22.27755,10.80453,0,0,-1,12/02/2020 09:37:15
-1090,0,0,16.71983,16.09306,61.27154,0,0,-1,12/02/2020 09:37:15
-1064,1,0,17.25227,-25.61529,46.50266,0,0,-1,12/02/2020 09:37:15
-1258,0,0,17.91432,7.445707,61.03463,0,0,-4,12/02/2020 09:37:16
-1142,1,0,15.23381,21.46904,53.70839,0,0,-4,12/02/2020 09:37:16
-1116,0,4,16.46463,-17.98057,20.12436,0,0,-4,12/02/2020 09:37:16
-1090,0,0,17.13407,5.814173,59.54716,0,0,-4,12/02/2020 09:37:16
-1064,1,2,19.62061,-26.51425,51.3832,0,0,-4,12/02/2020 09:37:16
-1258,0,0,20.77838,10.46843,52.96605,0,0,-5,12/02/2020 09:37:17
-1142,1,0,10.22186,13.21649,52.9678,0,0,-5,12/02/2020 09:37:17
-1116,0,4,20.38102,-25.13254,13.05727,0,0,-5,12/02/2020 09:37:17
-1090,0,0,11.96002,13.86039,56.91549,0,0,-5,12/02/2020 09:37:17
-1064,1,3,14.79524,-22.11587,47.08632,0,0,-5,12/02/2020 09:37:17
-1258,0,0,12.4138,5.664795,64.57018,0,0,-6,12/02/2020 09:37:18
-1142,1,0,18.55085,18.18406,45.65973,0,0,-6,12/02/2020 09:37:18
-1116,0,4,17.16416,-17.47814,16.54443,0,0,-6,12/02/2020 09:37:18
-1090,0,0,15.23002,8.045219,62.99587,0,0,-6,12/02/2020 09:37:18
-1064,1,4,19.48032,-23.41215,56.08157,0,0,-6,12/02/2020 09:37:18
-1258,0,0,20.83959,-0.07713154,55.8021,0,0,-6,12/02/2020 09:37:19
-1142,1,0,15.62932,13.22936,49.76131,0,0,-6,12/02/2020 09:37:19
-1116,0,4,16.38404,-25.53538,14.27095,0,0,-6,12/02/2020 09:37:19
