AgentID,GoodPointAmount,BadPointAmount,Velocity,xAxisPos,zAxisPos,seenBySnatcher,touchedWall,academyScore,date-time
-1258,0,0,0,48.04538,-1.201183,0,3,2,12/02/2020 11:04:03
-1142,0,0,16.4708,-19.34851,62.42513,0,0,2,12/02/2020 11:04:03
-1116,2,0,4.740191,-26.70397,4.372604,0,0,2,12/02/2020 11:04:03
-1090,0,0,37.15573,11.64888,23.44775,0,0,2,12/02/2020 11:04:03
-1064,0,0,23.34601,-18.01246,57.36933,0,0,2,12/02/2020 11:04:03
-1258,0,0,4.764561,47.93295,-6.813283,0,8,1,12/02/2020 11:04:04
-1142,0,0,12.90501,-8.179407,61.57997,0,1,1,12/02/2020 11:04:04
-1116,2,0,0.1786787,-25.55747,1.016324,0,4,1,12/02/2020 11:04:04
-1090,0,1,33.40859,3.136984,42.9485,0,0,1,12/02/2020 11:04:04
-1064,0,0,3.601911,-10.46049,41.81327,0,1,1,12/02/2020 11:04:04
-1258,0,0,25.3454,32.96545,-25.73492,0,8,0,12/02/2020 11:04:05
-1142,0,0,20.79998,-9.014049,47.27452,0,1,0,12/02/2020 11:04:05
-1116,2,0,2.662817,-27.94503,3.286903,0,6,0,12/02/2020 11:04:05
-1090,0,2,13.10118,22.27286,48.86502,0,0,0,12/02/2020 11:04:05
-1064,0,0,26.85055,-19.31359,45.83624,0,3,0,12/02/2020 11:04:05
-1258,0,1,33.73498,37.8834,-27.87991,0,12,0,12/02/2020 11:04:06
-1142,0,0,31.47787,4.933372,47.29556,1,1,0,12/02/2020 11:04:06
-1116,2,0,1.382843,-28.51993,1.004199,0,7,0,12/02/2020 11:04:06
-1090,1,2,22.96054,20.48994,55.32852,0,0,0,12/02/2020 11:04:06
-1064,1,0,21.49537,-19.28282,42.61245,0,3,0,12/02/2020 11:04:06
-1258,0,1,15.5502,47.46495,-23.575,0,15,-1,12/02/2020 11:04:07
-1142,1,0,4.764561,11.22891,66.92709,1,3,-1,12/02/2020 11:04:07
-1116,2,1,38.54152,-16.04202,5.224882,0,13,-1,12/02/2020 11:04:07
-1090,1,2,1.225831,9.842934,67.06334,0,4,-1,12/02/2020 11:04:07
-1064,1,1,39.22319,2.611684,42.6612,0,5,-1,12/02/2020 11:04:07
-1258,0,1,14.41173,47.73441,-14.29309,0,19,-1,12/02/2020 11:04:08
-1142,1,0,46.94292,-6.374737,60.78252,1,4,-1,12/02/2020 11:04:08
-1116,2,1,49.42154,-7.225085,35.64053,0,13,-1,12/02/2020 11:04:08
-1090,1,2,41.58334,-15.81105,59.40359,0,5,-1,12/02/2020 11:04:08
-1064,2,2,35.22367,22.29211,64.72245,0,5,-1,12/02/2020 11:04:08
-1258,0,2,48.04322,31.86799,22.68983,0,19,-2,12/02/2020 11:04:09
-1142,1,0,0.1389813,-16.93035,41.74545,1,10,-2,12/02/2020 11:04:09
-1116,2,1,9.876574,-16.96154,67.10482,0,16,-2,12/02/2020 11:04:09
-1090,1,2,4.76456,-24.7072,41.75818,0,10,-2,12/02/2020 11:04:09
-1064,2,2,31.9357,15.15849,67.13448,0,12,-2,12/02/2020 11:04:09
-1258,0,2,23.0907,-1.940469,35.25329,0,20,-2,12/02/2020 11:04:10
-1142,1,0,13.88994,-10.16245,41.89104,1,13,-2,12/02/2020 11:04:10
-1116,2,1,17.3594,-32.91833,62.59668,0,17,-2,12/02/2020 11:04:10
-1090,1,2,39.6367,-13.1022,43.72107,0,14,-2,12/02/2020 11:04:10
-1064,2,2,25.50912,-21.52037,51.14214,0,12,-2,12/02/2020 11:04:10
-1258,0,3,5.729787,-31.15071,31.11015,0,20,-2,12/02/2020 11:04:11
-1142,1,0,3.410419,-2.132566,40.51264,1,13,-2,12/02/2020 11:04:11
-1116,2,1,12.56323,-46.42477,35.95181,0,17,-2,12/02/2020 11:04:11
-1090,2,2,21.03919,6.755365,57.51676,0,14,-2,12/02/2020 11:04:11
-1064,2,2,9.523174,-27.63495,41.96951,0,17,-2,12/02/2020 11:04:11
-1258,0,4,1.255581,-36.07443,24.30141,0,20,-3,12/02/2020 11:04:12
