AgentID,GoodPointAmount,BadPointAmount,Velocity,xAxisPos,zAxisPos,seenBySnatcher,touchedWall,academyScore,date-time
-1258,1,0,31.33077,36.60513,67.20219,0,0,-1,11/02/2020 21:16:49
-1142,0,0,27.53949,2.84229,1.160012,0,1,-1,11/02/2020 21:16:49
-1116,0,0,25.26183,-18.25823,3.348921,0,2,-1,11/02/2020 21:16:49
-1090,0,0,2.561039,-48.37439,-5.775254,0,1,-1,11/02/2020 21:16:49
-1064,0,2,15.43013,-24.46428,32.57634,0,0,-1,11/02/2020 21:16:49
-1258,1,0,10.90008,34.84432,66.70506,0,5,1,11/02/2020 21:16:50
-1142,1,0,15.87796,25.47769,9.201773,0,1,1,11/02/2020 21:16:50
-1116,1,0,29.15635,-17.15951,19.90723,0,2,1,11/02/2020 21:16:50
-1090,0,0,17.1909,-47.67157,-10.78013,0,8,1,11/02/2020 21:16:50
-1064,0,2,2.838029,-17.03687,36.4897,0,4,1,11/02/2020 21:16:50
-1258,1,0,33.01628,12.42837,53.17725,0,5,0,11/02/2020 21:16:51
-1142,1,0,32.88761,23.13847,35.7406,0,1,0,11/02/2020 21:16:51
-1116,1,0,6.034259,-27.11359,36.46066,0,7,0,11/02/2020 21:16:51
-1090,0,0,3.173217,-35.45487,-29.85955,0,9,0,11/02/2020 21:16:51
-1064,0,2,20.87518,-23.16371,27.0837,1,4,0,11/02/2020 21:16:51
-1258,2,0,25.29786,-6.627087,36.60682,0,5,0,11/02/2020 21:16:52
-1142,2,0,13.98334,16.92543,31.69358,0,5,0,11/02/2020 21:16:52
-1116,1,0,32.14687,-47.10329,23.31396,0,8,0,11/02/2020 21:16:52
-1090,0,0,27.31073,-18.95017,-20.05637,0,11,0,11/02/2020 21:16:52
-1064,0,4,9.822819,-8.935795,9.389239,1,4,0,11/02/2020 21:16:52
-1258,2,0,33.48049,-13.31796,6.073183,0,5,-2,11/02/2020 21:16:53
-1142,2,0,32.26253,16.2674,7.001548,0,5,-2,11/02/2020 21:16:53
-1116,1,1,24.6052,-43.79337,13.56863,0,13,-2,11/02/2020 21:16:53
-1090,0,0,34.44172,10.38247,-6.906086,0,11,-2,11/02/2020 21:16:53
-1064,0,5,19.84613,5.842854,-5.122212,1,4,-2,11/02/2020 21:16:53
-1258,2,0,8.760908,-14.43563,0.8126833,0,10,-5,11/02/2020 21:16:54
-1142,2,2,22.87877,24.04069,5.141215,0,6,-5,11/02/2020 21:16:54
-1116,1,1,33.61327,-15.80602,3.70767,0,13,-5,11/02/2020 21:16:54
-1090,0,0,4.056657,17.2756,-4.484742,0,15,-5,11/02/2020 21:16:54
-1064,0,6,21.56937,26.57242,-9.509269,1,4,-5,11/02/2020 21:16:54
-1258,2,0,29.95922,-1.426602,14.64762,0,11,-5,11/02/2020 21:16:55
-1142,2,3,24.65668,35.75835,32.36528,0,6,-5,11/02/2020 21:16:55
-1116,1,1,3.528506,9.663137,-1.133347,0,14,-5,11/02/2020 21:16:55
-1090,1,0,23.01195,12.93132,-12.58491,0,17,-5,11/02/2020 21:16:55
-1064,0,6,33.47422,39.3175,16.20842,1,4,-5,11/02/2020 21:16:55
-1258,2,2,31.75534,-10.82308,35.75721,0,11,-5,11/02/2020 21:16:56
-1142,2,3,34.01947,42.80269,62.47129,0,6,-5,11/02/2020 21:16:56
-1116,1,1,27.52535,4.896499,10.19884,0,16,-5,11/02/2020 21:16:56
-1090,3,0,9.47583,24.44165,-27.14187,0,17,-5,11/02/2020 21:16:56
-1064,0,6,34.92962,46.69669,49.85376,1,4,-5,11/02/2020 21:16:56
-1258,2,2,30.94007,-30.13109,32.62405,0,13,-5,11/02/2020 21:16:57
-1142,2,3,21.39142,37.32285,64.86457,0,10,-5,11/02/2020 21:16:57
-1116,1,2,12.37575,-17.0121,30.00524,0,16,-5,11/02/2020 21:16:57
-1090,5,1,10.90701,21.0211,-15.24523,0,17,-5,11/02/2020 21:16:57
-1064,0,6,4.878661,44.79342,67.10734,1,7,-5,11/02/2020 21:16:57
-1258,3,3,13.97918,-35.58525,16.94147,0,13,-7,11/02/2020 21:16:58
-1142,2,4,25.40961,28.82117,44.62725,0,10,-7,11/02/2020 21:16:58
-1116,1,2,31.59846,-41.30271,28.99529,0,16,-7,11/02/2020 21:16:58
-1090,5,2,28.84203,-1.672765,-15.63763,0,17,-7,11/02/2020 21:16:58
-1064,0,6,28.95716,26.99429,52.81178,1,7,-7,11/02/2020 21:16:58
-1258,3,3,32.08538,-11.38877,18.03871,0,13,-8,11/02/2020 21:16:59
-1142,2,4,27.0525,43.52728,42.40516,0,11,-8,11/02/2020 21:16:59
-1116,1,2,21.32069,-46.21429,18.5343,0,19,-8,11/02/2020 21:16:59
-1090,5,4,3.417642,-1.574123,-29.89466,0,18,-8,11/02/2020 21:16:59
-1064,1,6,17.2022,30.13171,42.17916,1,10,-8,11/02/2020 21:16:59
-1258,3,3,33.94476,8.98632,44.0428,0,13,-9,11/02/2020 21:17:00
-1142,2,4,23.9137,45.82873,53.92228,0,15,-9,11/02/2020 21:17:00
-1116,1,4,28.46308,-33.51478,24.12969,0,19,-9,11/02/2020 21:17:00
-1090,5,4,27.83788,3.293843,-13.64257,0,19,-9,11/02/2020 21:17:00
-1064,3,7,2.878716,36.10078,53.36206,1,10,-9,11/02/2020 21:17:00
-1258,5,3,24.99584,-0.5105523,48.55374,0,13,-5,11/02/2020 21:17:01
-1142,2,4,16.64373,27.00861,66.86085,0,16,-5,11/02/2020 21:17:01
