snatcherVelocity,xAxisPos,zAxisPos,distanceToTarget,viewAngle,touchedWall,date-time
9.997513,-41.29044,49.23714,17.39493,277.8367,0,12/02/2020 11:04:03
9.997513,-32.26003,49.9454,17.39493,220.2734,0,12/02/2020 11:04:04
30.65401,-16.45512,47.20404,6.944891,205.7364,0,12/02/2020 11:04:05
37.04352,24.57465,41.75257,5.616425,393.1101,1,12/02/2020 11:04:06
12.4796,37.7099,42.39998,17.16076,210.4558,1,12/02/2020 11:04:07
12.4796,47.10338,36.14492,17.16076,331.3142,1,12/02/2020 11:04:08
9.961351,43.73836,28.52818,17.07779,276.4409,2,12/02/2020 11:04:09
14.5727,25.37876,15.08399,13.93569,253.5185,2,12/02/2020 11:04:10
14.5727,11.44408,7.382113,13.93569,368.9988,2,12/02/2020 11:04:11
14.5727,-1.901708,0.9870739,13.93569,88.56537,2,12/02/2020 11:04:12
14.5727,-7.902446,-5.328606,13.93569,88.30653,2,12/02/2020 11:04:13
12.8065,-12.02646,-7.767151,13.93569,116.9594,2,12/02/2020 11:04:14
8.963498,-12.1685,-9.320435,13.93569,148.1543,2,12/02/2020 11:04:15
8.963498,-12.88819,-9.104715,13.93569,88.71187,2,12/02/2020 11:04:16
8.963498,-18.55793,-9.533585,13.93569,362.1431,2,12/02/2020 11:04:17
8.050027,-22.21274,-15.1474,13.93569,112.6926,2,12/02/2020 11:04:18
8.050027,-21.7346,-13.30215,13.93569,102.5242,2,12/02/2020 11:04:19
8.050027,-21.20812,-12.09083,13.93569,118.0384,2,12/02/2020 11:04:20
8.050027,-18.1877,-14.07483,13.93569,120.8093,2,12/02/2020 11:04:21
8.050027,-20.38104,-15.55399,13.93569,159.5011,2,12/02/2020 11:04:22
8.050027,-18.05072,-18.66417,13.93569,407.1831,2,12/02/2020 11:04:23
8.050027,-21.7206,-16.1248,13.93569,98.58148,2,12/02/2020 11:04:24
8.050027,-19.16307,-17.00119,13.93569,384.4812,2,12/02/2020 11:04:25
8.050027,-21.23656,-17.54009,13.93569,96.93845,2,12/02/2020 11:04:26
8.050027,-23.06975,-14.717,13.93569,429.1206,2,12/02/2020 11:04:27
8.050027,-22.08179,-16.89956,13.93569,184.9286,2,12/02/2020 11:04:28
8.050027,-29.76796,-20.71763,13.93569,168.6355,2,12/02/2020 11:04:29
8.050027,-29.44231,-21.85073,13.93569,124.1945,2,12/02/2020 11:04:30
8.050027,-29.31545,-22.13596,13.93569,122.7022,2,12/02/2020 11:04:31
8.050027,-30.747,-19.80369,13.93569,83.31516,2,12/02/2020 11:04:32
8.050027,-30.49809,-18.49504,13.93569,415.995,2,12/02/2020 11:04:33
8.050027,-31.13226,-17.14986,13.93569,125.8691,2,12/02/2020 11:04:34
8.050027,-31.91171,-15.10325,13.93569,71.57031,2,12/02/2020 11:04:35
11.03695,-26.63801,-11.14024,12.46498,103.3006,2,12/02/2020 11:04:36
11.03695,-10.78792,-9.843887,12.46498,310.3065,2,12/02/2020 11:04:37
9.104574,0.5190566,-10.65275,12.46498,417.8025,2,12/02/2020 11:04:38
9.104574,6.750144,-8.957348,12.46498,214.85,2,12/02/2020 11:04:39
9.104574,13.29634,-5.283073,12.46498,400.8168,2,12/02/2020 11:04:40
9.104575,13.15691,-4.20899,12.46498,81.09222,3,12/02/2020 11:04:41
9.104576,15.18286,-4.618618,12.46498,327.6779,3,12/02/2020 11:04:42
9.104576,19.51133,-8.012329,12.46498,143.5413,3,12/02/2020 11:04:43
9.104576,23.64197,-6.923592,12.46498,125.2516,3,12/02/2020 11:04:45
6.643405,26.93887,-4.141096,12.46498,375.8997,4,12/02/2020 11:04:46
6.643406,23.15618,-6.437735,12.46498,314.0008,4,12/02/2020 11:04:47
6.643406,19.9047,-8.737282,12.46498,343.5236,4,12/02/2020 11:04:48
6.643406,16.53396,-9.925077,12.46498,363.2731,4,12/02/2020 11:04:49
6.643406,24.29638,-12.9163,12.46498,115.9382,4,12/02/2020 11:04:50
6.643406,23.03858,-9.442757,12.46498,368.3201,4,12/02/2020 11:04:51
6.643406,24.42544,-4.1859,12.46498,426.5018,5,12/02/2020 11:04:52
6.643407,25.46155,-5.577848,12.46498,188.4541,5,12/02/2020 11:04:53
6.643407,29.22173,-7.578138,12.46498,309.9185,5,12/02/2020 11:04:54
6.643407,30.95895,-9.208286,12.46498,92.18987,5,12/02/2020 11:04:55
6.643407,34.34401,-3.364447,12.46498,197.6023,5,12/02/2020 11:04:56
6.643407,38.32996,-5.016169,12.46498,366.5624,5,12/02/2020 11:04:57
6.643407,35.1028,-5.188097,12.46498,399.9225,5,12/02/2020 11:04:58
6.643407,35.73859,-0.1304245,12.46498,366.8108,5,12/02/2020 11:04:59
6.643407,32.10229,-1.579922,12.46498,397.6341,5,12/02/2020 11:05:00
3.829821,32.4513,1.2843,12.46498,324.4727,5,12/02/2020 11:05:01
6.819655,28.15998,5.792063,16.52225,374.3929,5,12/02/2020 11:05:02
16.26409,6.286026,17.20552,9.410109,332.3687,5,12/02/2020 11:05:03
27.33769,-9.340013,27.32637,16.9753,228.6125,5,12/02/2020 11:05:04
6.234334,-18.67685,17.93093,11.76292,171.8472,5,12/02/2020 11:05:05
22.61026,-14.87993,32.31646,11.43155,382.3712,5,12/02/2020 11:05:06
0,-19.02164,30.3621,11.43155,246.0038,6,12/02/2020 11:05:07
