snatcherVelocity,xAxisPos,zAxisPos,distanceToTarget,viewAngle,touchedWall,date-time,update
0,-4.835583,24.5864,0,220.2891,0,30/09/2020 23:43:38,51
0,-12.24947,20.74621,0,333.5698,0,30/09/2020 23:43:39,102
0,-14.12666,15.92133,0,227.4675,0,30/09/2020 23:43:40,153
0,-17.2804,19.49204,0,156.0347,0,30/09/2020 23:43:41,204
23.07251,-2.901249,16.67225,4.596742,112.3105,0,30/09/2020 23:43:42,255
15.54535,11.47329,27.24301,4.596742,189.5909,0,30/09/2020 23:43:43,306
9.614392,17.54521,29.99967,4.596742,313.409,0,30/09/2020 23:43:44,357
3.610673,25.79688,26.09632,4.596742,184.4361,0,30/09/2020 23:43:45,408
0,22.2924,19.5161,4.596742,268.3016,0,30/09/2020 23:43:46,459
7.152557E-05,23.44765,22.0053,4.596742,333.2016,0,30/09/2020 23:43:47,510
0,21.50648,22.20439,4.596742,341.5608,0,30/09/2020 23:43:48,561
0,15.06614,19.28309,4.596742,263.1898,0,30/09/2020 23:43:49,612
0.0001448291,18.51699,13.07069,4.596742,65.7579,0,30/09/2020 23:43:50,663
0,24.86866,15.05454,4.596742,196.0495,0,30/09/2020 23:43:51,714
13.25061,23.19289,19.30402,8.233507,256.6868,0,30/09/2020 23:43:52,765
14.8869,4.827936,13.36974,9.460162,262.5047,0,30/09/2020 23:43:53,816
5.418155,-3.909929,7.479898,2.605133,360.4839,0,30/09/2020 23:43:54,867
25.55073,-6.218896,25.19919,3.410722,69.05069,0,30/09/2020 23:43:55,918
12.70081,-9.2304,40.33,3.410722,246.0982,1,30/09/2020 23:43:56,969
0,-10.74378,34.30859,3.410722,251.7805,1,30/09/2020 23:43:57,1020
0,-8.146927,27.47136,3.410722,246.6947,1,30/09/2020 23:43:58,1071
0,-7.202752,32.32275,3.410722,106.7746,1,30/09/2020 23:43:59,1122
10.43101,0.7969256,26.82925,8.256809,162.934,1,30/09/2020 23:44:00,1173
9.082743,10.09522,19.3791,10.75163,225.9331,1,30/09/2020 23:44:01,1224
7.105888,7.267984,15.68127,7.672388,382.4102,1,30/09/2020 23:44:02,1275
0,8.449926,12.84112,4.365157,324.0839,1,30/09/2020 23:44:03,1326
6.585502,8.276855,16.45943,1.145054,204.5238,1,30/09/2020 23:44:04,1377
0.5817789,4.937295,18.487,1.145054,275.0045,1,30/09/2020 23:44:05,1428
0,3.212436,15.4488,1.145054,132.9237,1,30/09/2020 23:44:06,1479
4.659229,-4.829582,22.23532,3.649313,317.6761,1,30/09/2020 23:44:07,1530
15.63626,-3.399076,15.71726,4.612515,315.58,1,30/09/2020 23:44:08,1581
5.20284,-2.38031,17.06448,4.612515,311.2489,1,30/09/2020 23:44:09,1632
0,2.798151,23.25292,4.612515,120.2823,1,30/09/2020 23:44:10,1683
14.20786,15.91191,26.84994,10.76488,93.00822,1,30/09/2020 23:44:11,1734
6.517511,20.77184,31.35228,3.366008,348.0013,2,30/09/2020 23:44:12,1785
0.5137939,14.8321,25.63117,3.366008,305.2154,2,30/09/2020 23:44:13,1836
0,5.960893,28.96695,3.366008,362.807,2,30/09/2020 23:44:14,1887
0,-0.4722353,29.35742,3.366008,340.8036,2,30/09/2020 23:44:15,1938
0,0.7552209,26.81057,3.366008,218.4086,2,30/09/2020 23:44:16,1989
3.71231,-2.854279,21.61267,6.062346,310.0302,2,30/09/2020 23:44:17,2040
0,-5.003867,28.16961,6.062346,354.8358,2,30/09/2020 23:44:18,2091
0,-3.330817,21.91666,6.062346,176.1475,2,30/09/2020 23:44:19,2142
0,3.887314,21.56864,6.062346,55.6945,2,30/09/2020 23:44:20,2193
0,-1.700782,22.16995,6.062346,144.7042,2,30/09/2020 23:44:22,2244
0,-1.547699,20.98135,6.062346,221.4409,2,30/09/2020 23:44:23,2295
0,-8.081135,22.20696,6.062346,139.4927,2,30/09/2020 23:44:24,2346
0,-5.230106,23.02142,6.062346,291.2231,2,30/09/2020 23:44:25,2397
4.125199,5.217787,17.00996,6.919756,311.8077,2,30/09/2020 23:44:26,2448
0.2612167,3.98861,16.71462,6.919756,125.2615,2,30/09/2020 23:44:27,2499
0,8.805005,16.68583,6.919756,354.4499,2,30/09/2020 23:44:28,2550
7.590647,5.003509,21.26188,7.746636,135.1517,2,30/09/2020 23:44:29,2601
3.83421,14.62791,19.48647,2.231065,290.65,2,30/09/2020 23:44:30,2652
14.2702,10.61775,7.851641,3.158888,115.653,2,30/09/2020 23:44:31,2703
8.266479,12.41217,1.634542,3.158888,391.7028,2,30/09/2020 23:44:32,2754
9.68749E-14,11.91447,4.849741,3.158888,330.7082,3,30/09/2020 23:44:33,2805
0,13.86438,10.96626,3.158888,97.08512,3,30/09/2020 23:44:34,2856
4.629226,10.41139,23.49907,10.11492,139.7174,3,30/09/2020 23:44:35,2907
0,5.470507,21.03634,10.11492,284.2446,3,30/09/2020 23:44:36,2958
3.93726,5.743889,19.01347,10.58923,131.9116,3,30/09/2020 23:44:37,3009
0,5.633856,18.36881,10.58923,251.362,3,30/09/2020 23:44:38,3060
16.30401,6.119785,11.54353,8.720605,164.1439,3,30/09/2020 23:44:39,3111
15.89342,-6.566523,-6.807128,8.148066,153.8459,3,30/09/2020 23:44:40,3162
9.889689,-6.646574,-18.72839,8.148066,62.1368,3,30/09/2020 23:44:41,3213
3.885973,-2.361785,-22.17867,8.148066,393.648,3,30/09/2020 23:44:42,3264
1.937499E-13,-0.0251217,-13.846,8.148066,74.73384,3,30/09/2020 23:44:43,3315
1.937497E-13,2.031624,-7.933639,8.148066,309.8274,3,30/09/2020 23:44:44,3366
7.26562E-14,-4.797128,-1.729593,8.148066,359.6511,3,30/09/2020 23:44:45,3417
9.68749E-14,-10.34169,4.946056,8.148066,72.2312,3,30/09/2020 23:44:46,3468
9.68749E-14,-4.775682,7.786896,8.148066,61.21662,3,30/09/2020 23:44:47,3519
0,1.064761,10.59504,8.148066,87.87318,3,30/09/2020 23:44:48,3570
0,8.024529,6.33437,8.148066,399.932,3,30/09/2020 23:44:49,3621
0,6.229112,15.65126,8.148066,348.1181,3,30/09/2020 23:44:50,3672
0,4.450786,13.01642,8.148066,201.2724,3,30/09/2020 23:44:51,3723
0,3.186935,16.30807,8.148066,377.5808,3,30/09/2020 23:44:52,3774
0,-2.033569,15.14959,8.148066,52.02918,3,30/09/2020 23:44:53,3825
