snatcherVelocity,xAxisPos,zAxisPos,distanceToTarget,viewAngle,touchedWall,date-time,update
19.81891,-6.327876,24.91858,9.519594,260.3973,0,23/09/2020 21:25:31,51
13.13317,-24.14008,13.15861,9.519594,138.782,0,23/09/2020 21:25:32,102
3.763907,-17.28011,11.80424,6.593076,62.40789,0,23/09/2020 21:25:33,153
7.925023,-13.16122,9.732621,5.898247,296.9233,0,23/09/2020 21:25:34,204
3.270171,-7.527935,14.5713,2.291176,66.38544,0,23/09/2020 21:25:35,255
0,1.250474,19.97643,2.291176,78.03952,0,23/09/2020 21:25:36,306
9.766219,-0.1896516,11.50184,3.913822,174.3907,0,23/09/2020 21:25:37,357
1.239214,-4.070796,16.40115,10.79077,64.54623,0,23/09/2020 21:25:39,408
8.470103,-1.122183,13.09331,8.904263,252.3109,0,23/09/2020 21:25:40,459
6.140771,0.9751762,7.473579,9.117054,150.6441,0,23/09/2020 21:25:41,510
0.08909518,5.493159,4.885498,9.117054,59.41024,0,23/09/2020 21:25:42,561
0,9.144794,11.11332,9.117054,369.7341,0,23/09/2020 21:25:43,612
0,9.41124,19.30935,9.117054,224.703,0,23/09/2020 21:25:44,663
0,10.63462,14.39692,9.117054,294.156,0,23/09/2020 21:25:45,714
0,8.76244,11.28443,9.117054,151.7829,0,23/09/2020 21:25:46,765
0,5.628636,10.25299,9.117054,350.7592,0,23/09/2020 21:25:47,816
0,5.215761,11.904,9.117054,235.0838,0,23/09/2020 21:25:48,867
0.004842015,9.02476,11.62025,9.117054,45.67321,0,23/09/2020 21:25:49,918
0,15.59914,11.36731,9.117054,374.6706,0,23/09/2020 21:25:50,969
0,7.866075,17.21624,9.117054,327.5077,0,23/09/2020 21:25:51,1020
0,9.448975,18.27722,9.117054,97.84177,0,23/09/2020 21:25:52,1071
0,10.34932,18.60642,9.117054,73.0697,0,23/09/2020 21:25:53,1122
0,12.09484,19.32028,9.117054,330.6916,0,23/09/2020 21:25:54,1173
0,11.30375,20.78509,9.117054,74.84791,0,23/09/2020 21:25:55,1224
0,7.674172,22.38876,9.117054,254.586,0,23/09/2020 21:25:56,1275
